Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
5930.13,0.4629,
5930,0.4626,
5929.88,0.4624,
5929.75,0.4622,
5929.63,0.462,
5929.5,0.4623,
5929.38,0.463,
5929.25,0.4637,
5929.13,0.4639,
5929,0.4636,
5928.88,0.4632,
5928.75,0.4631,
5928.63,0.4635,
5928.5,0.4642,
5928.38,0.4648,
5928.25,0.465,
5928.13,0.4648,
5928,0.4643,
5927.88,0.4637,
5927.75,0.4632,
5927.63,0.4631,
5927.5,0.4635,
5927.38,0.4643,
5927.25,0.4647,
5927.13,0.4643,
5927,0.463,
5926.88,0.4617,
5926.75,0.4611,
5926.63,0.4611,
5926.5,0.4616,
5926.38,0.4624,
5926.25,0.4634,
5926.13,0.4645,
5926,0.4653,
5925.88,0.4656,
5925.75,0.4656,
5925.63,0.4653,
5925.5,0.4648,
5925.38,0.464,
5925.25,0.4633,
5925.13,0.463,
5925,0.4631,
5924.88,0.4635,
5924.75,0.4641,
5924.63,0.4648,
5924.5,0.4653,
5924.38,0.4652,
5924.25,0.4648,
5924.13,0.4645,
5924,0.4646,
5923.88,0.4646,
5923.75,0.464,
5923.63,0.4633,
5923.5,0.4628,
5923.38,0.4628,
5923.25,0.4627,
5923.13,0.4626,
5923,0.4627,
5922.88,0.4633,
5922.75,0.464,
5922.63,0.4644,
5922.5,0.4642,
5922.38,0.4637,
5922.25,0.4635,
5922.13,0.4637,
5922,0.4637,
5921.88,0.4631,
5921.75,0.4621,
5921.63,0.4613,
5921.5,0.4615,
5921.38,0.4625,
5921.25,0.4637,
5921.13,0.4647,
5921,0.4656,
5920.88,0.4663,
5920.75,0.4666,
5920.63,0.4662,
5920.5,0.4652,
5920.38,0.4644,
5920.25,0.464,
5920.13,0.4636,
5920,0.4629,
5919.88,0.4624,
5919.75,0.4625,
5919.63,0.4633,
5919.5,0.4643,
5919.38,0.4646,
5919.25,0.464,
5919.13,0.4629,
5919,0.4618,
5918.88,0.461,
5918.75,0.4609,
5918.63,0.4613,
5918.5,0.4621,
5918.38,0.4628,
5918.25,0.4636,
5918.13,0.4644,
5918,0.4652,
5917.88,0.4653,
5917.75,0.4646,
5917.63,0.4631,
5917.5,0.4616,
5917.38,0.4607,
5917.25,0.4605,
5917.13,0.461,
5917,0.4621,
5916.88,0.4633,
5916.75,0.4644,
5916.63,0.4649,
5916.5,0.4646,
5916.38,0.4638,
5916.25,0.4632,
5916.13,0.463,
5916,0.4632,
5915.88,0.4633,
